,VBM (Ground Truth),SVM Raw Weights (Top 1%) (F1),SVM Raw Weights (Top 1%) (F2),SVM Raw Weights (Top 1%) (F3),SVM Raw Weights (Top 1%) (F4),SVM Raw Weights (Top 1%) (F5),SVM Raw Weights (Top 5%) (F1),SVM Raw Weights (Top 5%) (F2),SVM Raw Weights (Top 5%) (F3),SVM Raw Weights (Top 5%) (F4),SVM Raw Weights (Top 5%) (F5),SVM Haufe (Top 1%) (F1),SVM Haufe (Top 1%) (F2),SVM Haufe (Top 1%) (F3),SVM Haufe (Top 1%) (F4),SVM Haufe (Top 1%) (F5),SVM Haufe (Top 5%) (F1),SVM Haufe (Top 5%) (F2),SVM Haufe (Top 5%) (F3),SVM Haufe (Top 5%) (F4),SVM Haufe (Top 5%) (F5),SVM Gaonkar (FDR 0.1) (F1),SVM Gaonkar (FDR 0.1) (F2),SVM Gaonkar (FDR 0.1) (F3),SVM Gaonkar (FDR 0.1) (F4),SVM Gaonkar (FDR 0.1) (F5),SVM Gaonkar (Bonf 0.05) (F1),SVM Gaonkar (Bonf 0.05) (F2),SVM Gaonkar (Bonf 0.05) (F3),SVM Gaonkar (Bonf 0.05) (F4),SVM Gaonkar (Bonf 0.05) (F5)
SVM Raw Weights (Top 5%) (F5),0.934988840655369,0.9520486096348604,0.9255860468029353,0.9382964555239853,0.9483273690169808,0.981241555509031,0.955835276209216,0.9543228664821527,0.9620548801806251,0.9453338392541336,1.0,0.9316785728739152,0.9350591453403674,0.9389486025527464,0.9396050914861839,0.9374265691089779,0.9281245101597075,0.9340181939477598,0.940092250853486,0.9431458548760813,0.9397492547464343,0.9520704182318168,0.9435255396259769,0.9501700245139378,0.9522499052345541,0.9800604007455771,0.9518057574442406,0.9387148094288769,0.9443829489215687,0.9389889997773209,0.9464218827052944
SVM Haufe (Top 1%) (F1),0.997491437002817,0.9262610620134415,0.9202146515509019,0.8307015930172609,0.9438183040183513,0.7730772142253455,0.9566883266794285,0.9744315242222579,0.953385643879654,0.9588885013704376,0.9149036081513687,1.0,0.9992616745233723,0.9913984496901752,0.9914746622182946,0.9978515018326849,0.9930849761076208,0.9960513670211109,0.9893923916326399,0.989327181188743,0.9959272560450715,0.9738793528828094,0.9852089475910749,0.9749916473115923,0.9830279696408395,0.9595319806161005,0.9561719956708927,0.9715212076574914,0.9660263356038362,0.9605363843872436,0.9351965075949206
SVM Haufe (Top 1%) (F2),0.9993052101551818,0.920336814900518,0.9196552225510988,0.825268311394169,0.9421274736595185,0.7835057047113413,0.9569404412084076,0.9736093436536516,0.9486699124229728,0.9554814166170453,0.9156214397301995,0.9990265983803617,1.0,0.9884681150103464,0.9883443749855246,0.9990901779605257,0.9920937475549267,0.9973053396666924,0.9864052651465389,0.9867364881711859,0.9966677759564829,0.9699330802120643,0.9852756578891428,0.9707259087989529,0.9786184610719831,0.9582530807085116,0.9529657551111694,0.9737903498210528,0.9618341051954956,0.9581490286245525,0.9322121235643248
SVM Haufe (Top 1%) (F3),0.9991262073158043,0.9400334683933398,0.9121626608428087,0.8472843909013823,0.9602581100327108,0.7895900242475256,0.9637573043380234,0.974850151841553,0.9668371399500003,0.9723388244507953,0.930900482006578,0.9976288777373347,0.9972683684962775,1.0,0.9996950641032749,0.9982920171183687,0.9933930799228348,0.9933648100442769,0.9976751527825021,0.9981441212768449,0.9971409477807092,0.9843885185987535,0.9842082068999317,0.9872445859062603,0.9923970676973767,0.9690979907175542,0.9680912249925966,0.9712847199527564,0.976419626584497,0.97296775290746,0.9464700435952357
SVM Haufe (Top 1%) (F4),0.9928481179079637,0.9310784654738725,0.8982865060930673,0.8383896080986379,0.9611418535867671,0.7725262517158235,0.9501043562332977,0.9626216723416925,0.9591118560323054,0.9753535459899719,0.923548581727532,0.9907686774269074,0.9905414733680585,0.9995989538826279,1.0,0.9923196982134481,0.9870497268578214,0.986834326793503,0.9973520059200737,0.9979693284339115,0.9907744149854611,0.9817169357870847,0.9748554842142224,0.9831368601966762,0.9924662901063347,0.9629318087469104,0.9624472624924902,0.9605841390511889,0.9722563603014841,0.9709271757815203,0.9393540675822324
SVM Haufe (Top 1%) (F5),0.9990857416226412,0.9275803685466928,0.9135893805013551,0.8309066832265,0.9483765787380308,0.7794654728698839,0.9567654010403261,0.9718543333526732,0.9542433969479481,0.9619565342098108,0.9221903082428013,0.997482074160554,0.9977993259673472,0.9942811788775872,0.994273765828758,1.0,0.9930006977325047,0.9959978629508497,0.9928408417017264,0.992873229531416,0.9979642026516772,0.9772467567827151,0.9847931777946469,0.9762993895013627,0.9832870304087297,0.9652356439787001,0.9591916331379781,0.972119979497974,0.9699610619378447,0.9665929327902996,0.9392787029722212
SVM Haufe (Top 5%) (F1),0.9781591152580311,0.8963485185073209,0.8841675657701636,0.8254717479445504,0.9086713064838717,0.7919237129723069,0.919205021576844,0.9260773239308763,0.9107866804920894,0.9214948544757845,0.8902046614036353,0.9786003749382629,0.9775443434370084,0.9713488858134522,0.9750131372757364,0.9792736810129121,1.0,0.9931772106049643,0.9931136353169103,0.9908121193695338,0.995757397944523,0.9468995799832224,0.9456506723917008,0.9405893808222211,0.9478222572344642,0.9318480357379102,0.9214603586605501,0.9332291180475797,0.9343756521228326,0.9250473519602761,0.9042628170169544
SVM Haufe (Top 5%) (F2),0.9898902694673747,0.9028678059604943,0.9006588664411489,0.83600024794446,0.9196288524416906,0.8180987289150258,0.932940139721533,0.9422353877164794,0.9230480850849221,0.9307771266600114,0.9081226132865186,0.9890019922073775,0.9896154489487312,0.9806113889805042,0.9831554204339649,0.9910092559458489,0.9919035989705212,1.0,0.9890774050046612,0.9882699323779415,0.9971343226767608,0.9536164535001517,0.9590988114980726,0.9504643353254616,0.955960310250829,0.9461159557855723,0.9293942281102966,0.9499355902444127,0.9435863242145663,0.9341428116418766,0.916256724367191
SVM Haufe (Top 5%) (F3),0.98682518817962,0.920722438024043,0.8952963520236578,0.8542353652981417,0.9366032289788759,0.8252379747504507,0.9406373653163718,0.9438176732115552,0.9394973361828244,0.9473322979361807,0.9197502007064551,0.9853668911358217,0.9848158197405862,0.9875979865676875,0.9889476797201238,0.9871201490774192,0.9947502708154626,0.9919955530511914,1.0,0.9980327513977257,0.9961564863793572,0.9666062102092379,0.9598916367902371,0.9652289612410105,0.9680787581573612,0.9535024372018166,0.9454510472102579,0.9484197551403065,0.9526743176144309,0.9490311314787288,0.9285363108601483
SVM Haufe (Top 5%) (F4),0.9807780478425305,0.9173986244653205,0.8883922536169753,0.8465435975265974,0.9367079888103405,0.8117222631807419,0.9340438100857302,0.9369771883280967,0.932611085526665,0.9488814665214218,0.9136108191804786,0.9781567097373663,0.9786192832423571,0.983501422587377,0.9867637652440391,0.9810947781170828,0.9923926350317606,0.9873209891500754,0.9980713285893593,1.0,0.99187468544525,0.9640907739103866,0.9534783113604585,0.9591502752833357,0.9677208220827221,0.9480050387818939,0.9419996535893945,0.9422666401977335,0.947038817408132,0.9473955169677749,0.9247579416149895
SVM Haufe (Top 5%) (F5),0.9849239007823603,0.9084095674134836,0.895503656701391,0.8415176906983874,0.9205414257911819,0.8212124676440314,0.9328887146092057,0.9378577316316127,0.9246637093847417,0.932826321008627,0.912725510500699,0.9833342202221819,0.9821211166712881,0.9791586159644999,0.9819480469288334,0.9867299650679512,0.994786996547713,0.9955909256624846,0.9943153007161061,0.9924177826667295,1.0,0.9556755264635989,0.9546456724785334,0.9504158166420802,0.9543768737363029,0.9468123329891461,0.9302049332420602,0.9437494739144019,0.9437345031350514,0.9364768332167773,0.9202231041662433
SVM Gaonkar (FDR 0.1) (F1),0.9870872009750571,0.9869196245021745,0.9231599889537577,0.895736338686009,0.9592960555533873,0.8327454109567299,0.9954240551239408,0.992274915546945,0.9942895933156063,0.9616334777126625,0.9541634802581599,0.9891291590326592,0.9891170189765679,0.9932184748972582,0.9937466821605128,0.9912846704184122,0.9849369326124889,0.9856399379267734,0.9916932408035638,0.9914869476220941,0.9898630365242189,1.0,0.9912282696760888,0.9966668441946123,0.9952400233754191,0.9887832222214723,0.9975401727928992,0.9826235366357846,0.9940773457863783,0.9863037249814386,0.977937094247929
SVM Gaonkar (FDR 0.1) (F2),0.9873324744867327,0.9232162060694211,0.9528086485356275,0.8170469471994938,0.9074194455465705,0.7796472723913539,0.9724239625471843,0.9946188557207899,0.9461294085824465,0.9197073919524964,0.9017713291085465,0.99276600122975,0.9931939146936828,0.9573847871769092,0.9571921806797687,0.9882383175017068,0.9834892523419033,0.9919847110043486,0.9572225370335478,0.9568686680280863,0.9880754417637184,0.9529085553313433,1.0,0.9538494538074735,0.957925308604229,0.9522267899799103,0.9467587293105896,0.9897379230531422,0.9450634256586096,0.9427803273457407,0.9335332177078579
SVM Gaonkar (FDR 0.1) (F3),0.9750083989265593,0.973931030060431,0.9098170575215668,0.9016916954264416,0.9645612052619945,0.8360696885557056,0.9745272342948078,0.9775379626912087,0.9930822924095528,0.9703172844862681,0.9540909799810684,0.9778283723709402,0.9760139914673547,0.9920684292642136,0.9914322182303978,0.978411628226711,0.9752856829545717,0.9714479425122475,0.9895845752574662,0.9889638051333485,0.9772463653514444,0.9933896334190303,0.9790971511693044,1.0,0.9939344785557777,0.9816438931563439,0.9895821666304855,0.9650367929323412,0.9902008334730664,0.9766910682956172,0.9612804808316545
SVM Gaonkar (FDR 0.1) (F4),0.9333947559020561,0.9601151996649748,0.8326474719537451,0.8839545356058303,0.9880063571814058,0.7819673874446764,0.918723183573006,0.9189270683408896,0.9786651752845734,0.9913225255196092,0.9547042903663482,0.9256433597845919,0.926934681329371,0.9950966861286182,0.9954368570762614,0.9341448144700184,0.928786081957143,0.9246418006305159,0.9950855477579473,0.9954228864910912,0.9342926053799397,0.9933121781520408,0.9266454354380493,0.9931279726618144,1.0,0.9771841989631395,0.9812544129917986,0.91245200453716,0.9868803701852623,0.988572715324976,0.9612193153736136
SVM Gaonkar (FDR 0.1) (F5),0.9760670932229466,0.9728348130076111,0.9257923742609947,0.901336102388335,0.9481280324847218,0.8873020522375663,0.9807589182894125,0.9798832805025314,0.985317314175808,0.946321102873878,0.973123806072391,0.9751441634405099,0.9768867627808954,0.9817689849700686,0.9817951091424421,0.9767371248946931,0.9697358212369471,0.9745660580931019,0.982003287994918,0.9822968516794908,0.9764515646113789,0.9855331145755367,0.9794433735797317,0.9851083717320751,0.9840030283906372,1.0,0.9908349631672171,0.9801363185631341,0.9810672964437032,0.9788920379511374,0.979824868785626
SVM Gaonkar (Bonf 0.05) (F1),0.9837846779376859,0.9894851939122574,0.910909451808428,0.8803595407896404,0.9470736116142914,0.7879610836460612,0.9856371058151727,0.9845735236824584,0.9978043650701619,0.9468526150157535,0.950751232331464,0.9829994886953318,0.9834817502662252,0.9968828283820822,0.9969464556395521,0.9843524484711588,0.9814365824926524,0.9822899442671457,0.9966751535983568,0.9966742699057096,0.9841367405444357,0.9987950201047587,0.983782356205483,0.9981029741201539,0.9973004341878416,0.9983257368179792,1.0,0.9821066305359586,0.9962122822757197,0.9934101934297973,0.9883169192415637
SVM Gaonkar (Bonf 0.05) (F2),0.9821287626813959,0.8595363610967082,0.9838631895050265,0.7097431739927685,0.7930508087072259,0.6842020911464286,0.966923207134251,0.9989821160921429,0.87712525427028,0.8084892079921188,0.8046110362390687,0.9975835778634295,0.9980907603010387,0.8862260444715667,0.8862063194269711,0.9823393546627058,0.9804238130546437,0.997525361523189,0.8863280366984031,0.8863170958854276,0.9821755821749001,0.8771086283716388,0.9985257753868886,0.8769151824395095,0.8859734657666715,0.8890763770969021,0.8784484998453109,1.0,0.8698591217834032,0.8695645019047006,0.8780596199589682
SVM Gaonkar (Bonf 0.05) (F3),0.9290452935061122,0.9919890767773506,0.8387577325321622,0.9003038621386021,0.9541826097551043,0.7507762343964649,0.9301247162718908,0.9264058246735242,0.9976117043425458,0.9524771640884763,0.9526887417516127,0.9271361432136345,0.9262705078901102,0.9963406777615461,0.9963721515833612,0.9297034473970799,0.9294678910379188,0.9243601198430424,0.996062634554488,0.9960191850968407,0.9294869221911979,0.9987294081809398,0.9265335467242293,0.9994839507779737,0.9966246099392595,0.9949777125872862,0.9982129289493532,0.9231035475368095,1.0,0.993738118223018,0.9860850883333088
SVM Gaonkar (Bonf 0.05) (F4),0.8663431283304099,0.9782435328449975,0.7421145713004818,0.9040349835944419,0.9861121236311919,0.7173748770129861,0.8579915464143931,0.8514614097518719,0.9873075837772498,0.9848867758100468,0.9605719322215538,0.855947977550243,0.8571572809323635,0.9986360146434102,0.9986377759426224,0.8663373319732187,0.8621167316808888,0.8564574482493066,0.9986534790699236,0.9986681132876946,0.8662639934558714,0.9990497620957974,0.8571280354404235,0.997768424028119,0.9986631504738172,0.9845834957197389,0.9904488828239172,0.8481663704123569,0.9966797236040216,1.0,0.9784235023616147
SVM Gaonkar (Bonf 0.05) (F5),0.9452025066168694,0.9852002629071761,0.8800489580494923,0.8806613774838726,0.9259711514019949,0.7578346979847523,0.9525816671524963,0.9500554446302634,0.9840971655266049,0.922116331736216,0.9379356254738321,0.9453082071205866,0.9475184059143859,0.9830989805034838,0.9830986887677473,0.945212098276944,0.9379314051164743,0.9466340128985894,0.9831193872371652,0.9831892257458358,0.9449997917862603,0.9850076671887544,0.9478228929774074,0.9824162422742918,0.9829417654156507,0.9915147129274281,0.9900069129521198,0.9541284320249133,0.9814682282971486,0.9884660626934092,1.0
